threshold,accuracy,precision,recall,f1,TP,FP,TN,FN,expected_cost,outreach_count,cost_per_outreach
0.1,0.49751596877217885,0.3433395872420263,0.9786096256684492,0.5083333333333333,366,700,335,8,-31250.0,1066,15.0
0.15,0.5471965933286018,0.3661257606490872,0.9652406417112299,0.5308823529411765,361,625,410,13,-29250.0,986,15.0
0.2,0.5940383250532293,0.3912087912087912,0.9518716577540107,0.5545171339563862,356,554,481,18,-27190.0,910,15.0
0.25,0.6394606103619588,0.41985645933014354,0.9385026737967914,0.5801652892561984,351,485,550,23,-25100.0,836,15.0
0.3,0.6728176011355571,0.4420772303595206,0.8877005347593583,0.5902222222222222,332,419,616,42,-14215.0,751,15.0
0.35,0.6997870830376153,0.46474820143884893,0.8636363636363636,0.6043030869971936,323,372,663,51,-9295.0,695,15.0
0.4,0.7274662881476224,0.4921383647798742,0.8368983957219251,0.6198019801980198,313,323,712,61,-3780.0,636,15.0
0.45,0.7480482611781405,0.516295025728988,0.8048128342245989,0.6290491118077325,301,282,753,73,3105.0,583,15.0
0.5,0.759403832505323,0.5324675324675324,0.767379679144385,0.628696604600219,287,252,783,87,11405.0,539,15.0
0.55,0.7672107877927609,0.5467479674796748,0.7192513368983957,0.6212471131639723,269,223,812,105,22220.0,492,15.0
0.6,0.7799858055358411,0.573394495412844,0.6684491978609626,0.6172839506172839,250,186,849,124,33540.0,436,15.0
0.65,0.7963094393186657,0.6153846153846154,0.6203208556149733,0.6178428761651131,232,145,890,142,44175.0,377,15.0
0.7,0.7998580553584103,0.6513157894736842,0.5294117647058824,0.584070796460177,198,106,929,176,64840.0,304,15.0
0.75,0.7984386089425124,0.7064220183486238,0.4117647058823529,0.5202702702702703,154,64,971,220,91710.0,218,15.0
0.8,0.7877927608232789,0.7358490566037735,0.31283422459893045,0.43902439024390244,117,42,993,257,114505.0,159,15.0
0.85,0.772888573456352,0.7934782608695652,0.19518716577540107,0.3133047210300429,73,19,1016,301,141660.0,92,15.0
0.9,0.7487579843860894,0.8571428571428571,0.06417112299465241,0.11940298507462686,24,4,1031,350,172060.0,28,15.0
