rank_by_abs_coefficient,feature,coefficient,abs_coefficient,business_theme
1,cat__InternetService_Fiber optic,0.7636211147883949,0.7636211147883949,
2,cat__InternetService_DSL,-0.7058461610277529,0.7058461610277529,
3,num__tenure,-0.691707225605144,0.691707225605144,tenure
4,num__MonthlyCharges,-0.6056003731835655,0.6056003731835655,monthlycharges
5,cat__Contract_Two year,-0.5679545774706479,0.5679545774706479,contract
6,num__is_month_to_month,0.4412931087062101,0.4412931087062101,
7,cat__MultipleLines_No,-0.2873538182745403,0.2873538182745403,
8,num__service_count,0.2710761512429027,0.2710761512429027,
9,cat__DeviceProtection_No internet service,-0.26894343583049,0.26894343583049,
10,cat__OnlineBackup_No internet service,-0.26894343583049,0.26894343583049,
11,cat__InternetService_No,-0.26894343583049,0.26894343583049,
12,cat__StreamingTV_No internet service,-0.26894343583049,0.26894343583049,
13,cat__TechSupport_No internet service,-0.26894343583049,0.26894343583049,techsupport
14,cat__StreamingMovies_No internet service,-0.26894343583049,0.26894343583049,
15,cat__OnlineSecurity_No internet service,-0.26894343583049,0.26894343583049,onlinesecurity
16,num__is_new_customer,0.2649613397928781,0.2649613397928781,
17,cat__Contract_One year,0.25353803029847166,0.25353803029847166,contract
18,cat__OnlineSecurity_No,0.23431910100892533,0.23431910100892533,onlinesecurity
19,cat__PaymentMethod_Electronic check,0.22996101810975741,0.22996101810975741,
20,cat__StreamingMovies_Yes,0.22347868592430395,0.22347868592430395,
21,num__TotalCharges,0.21026982110385586,0.21026982110385586,totalcharges
22,cat__StreamingTV_Yes,0.20822737579656966,0.20822737579656966,
23,cat__TechSupport_No,0.19628345117813292,0.19628345117813292,techsupport
24,cat__OnlineSecurity_Yes,-0.1765441472482903,0.1765441472482903,onlinesecurity
25,num__PaperlessBilling,0.16902683344424368,0.16902683344424368,
26,cat__StreamingMovies_No,-0.16570373216366885,0.16570373216366885,
27,cat__PaymentMethod_Bank transfer (automatic),-0.16523355527073447,0.16523355527073447,
28,cat__PaymentMethod_Credit card (automatic),-0.15224657328370753,0.15224657328370753,
29,num__avg_monthly_spend,-0.15074752582570042,0.15074752582570042,
30,cat__StreamingTV_No,-0.15045242203593895,0.15045242203593895,
31,cat__TechSupport_Yes,-0.13850849741750354,0.13850849741750354,techsupport
32,cat__PaymentMethod_Mailed check,-0.12364937162517389,0.12364937162517389,
33,cat__MultipleLines_Yes,0.12088063449487377,0.12088063449487377,
34,cat__OnlineBackup_No,0.1139783806063966,0.1139783806063966,
35,cat__Contract_Month-to-month,0.1032480651023056,0.1032480651023056,contract
36,num__Dependents,-0.09684644903544788,0.09684644903544788,
37,num__PhoneService,0.07942097584487183,0.07942097584487183,
38,num__SeniorCitizen,0.05842118446751669,0.05842118446751669,
39,cat__OnlineBackup_Yes,-0.05620342684576747,0.05620342684576747,
40,cat__DeviceProtection_No,0.05011093345392513,0.05011093345392513,
41,cat__MultipleLines_No phone service,-0.044695298290189596,0.044695298290189596,
42,num__gender,0.013498753701010367,0.013498753701010367,
43,num__Partner,0.011248301677623283,0.011248301677623283,
44,cat__DeviceProtection_Yes,0.0076640203067023325,0.0076640203067023325,
