rank_by_permutation_mean,feature,permutation_importance_mean,permutation_importance_std,business_theme
1,Contract,0.032056799882886934,0.004506561947506584,contract
2,InternetService,0.01516598207135303,0.0038584775855057775,
3,tenure,0.014457102999302578,0.0021990895999220335,tenure
4,is_month_to_month,0.009972185624359626,0.002075021495914921,
5,TotalCharges,0.009777140544404062,0.0012218547994805782,totalcharges
6,OnlineSecurity,0.005835077113849607,0.001990087949364437,onlinesecurity
7,is_new_customer,0.0046130529506489696,0.0014548780215176346,
8,TechSupport,0.003541036968147019,0.0015342156284741245,techsupport
9,avg_monthly_spend,0.002351563374581393,0.0022293030523624613,
10,PaymentMethod,0.002337785355688249,0.001304570769185597,
11,MonthlyCharges,0.0011253196930947136,0.001994107492819008,monthlycharges
12,OnlineBackup,0.0009011685482274749,0.0013795146004473805,
13,StreamingMovies,0.0008543232839909247,0.0010386653048332138,
14,PaperlessBilling,0.000708879072050513,0.0007316220772996542,
15,StreamingTV,0.0006196663997176517,0.0010393337244853933,
16,MultipleLines,0.000541217804645,0.0006988537947033615,
17,SeniorCitizen,0.0005126284154418107,0.00039451437525722514,
18,Partner,0.0001811809484444667,0.0002673759212243623,
19,Dependents,8.79209830617178e-05,0.00028805982359163886,
20,PhoneService,5.588708913524254e-05,0.00012015021768881933,
21,service_count,-0.00013356067064496102,0.00043532593506030146,
22,gender,-0.00032903631369095944,0.0002876107816416699,
23,DeviceProtection,-0.0006181163725919702,0.0005260177557241359,
